,loss,accuracy,val_loss,val_accuracy
0,0.3305407464504242,0.8867806196212769,0.2122071236371994,0.9134377837181091
1,0.15779182314872742,0.939643383026123,0.21346457302570343,0.9149366617202759
2,0.1176517903804779,0.95691978931427,0.23226048052310944,0.9118639230728149
3,0.09397036582231522,0.967477560043335,0.26277270913124084,0.9046691060066223
4,0.07970143109560013,0.9729779362678528,0.28357619047164917,0.89792400598526
5,0.06630677729845047,0.9784414172172546,0.31469208002090454,0.8965749740600586
6,0.05612948164343834,0.982022225856781,0.3492378890514374,0.8908041715621948
7,0.046528298407793045,0.9849385619163513,0.38326382637023926,0.8887056708335876
8,0.03875632956624031,0.9877810478210449,0.4196217358112335,0.8883309364318848
9,0.031848255544900894,0.9908449649810791,0.455983430147171,0.8829348683357239
10,0.026273328810930252,0.9922477602958679,0.5056043863296509,0.8817357420921326
11,0.020806102082133293,0.9938351511955261,0.5548948049545288,0.8754402995109558
12,0.01688663847744465,0.9951640963554382,0.61363685131073,0.8712433576583862
13,0.013484206981956959,0.9959762096405029,0.662870466709137,0.8720677495002747
14,0.010632960125803947,0.9968991279602051,0.7271997332572937,0.872742235660553
15,0.0075646452605724335,0.9982649683952332,0.8016968369483948,0.8657723069190979
16,0.005782763008028269,0.9987449049949646,0.8711392283439636,0.8681705594062805
17,0.004613801836967468,0.9987449049949646,0.9474274516105652,0.8646481037139893
18,0.0037580819334834814,0.9991509318351746,1.004692792892456,0.8628494143486023
19,0.0023624305613338947,0.9994462728500366,1.0690178871154785,0.8647980093955994
20,0.0018711559241637588,0.9995570182800293,1.1541862487792969,0.8619500994682312
21,0.0013232047203928232,0.9998154044151306,1.2490804195404053,0.8594768643379211
22,0.0017472589388489723,0.9995201230049133,1.2655959129333496,0.8627744913101196
23,0.0012786263832822442,0.999630868434906,1.3191357851028442,0.8617252707481384
24,0.0006341313710436225,0.9998892545700073,1.3818801641464233,0.8614254593849182
